name,keyword,snippet
alertCircle.png,alertCircle.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/f24dbb0edc093cbc288c32faac8d9a14.png"" width=""24"" aria-hidden=""true"">"
alertCircleColor.png,alertCircleColor.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/d313ab5aabcb692853bb4a8c8fd0d298.png"" width=""24"" aria-hidden=""true"">"
alertCircleFill.png,alertCircleFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/9de84813ec88a1a289eeb6d4232fdf69.png"" width=""24"" aria-hidden=""true"">"
alertInfo.png,alertInfo.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/87742841e9958435e18f5fd83bc7d0aa.png"" width=""24"" aria-hidden=""true"">"
alertInfoFill.png,alertInfoFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/f513e40d0a0820e02ce7252234a7e566.png"" width=""24"" aria-hidden=""true"">"
alertTriangle.png,alertTriangle.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/a01aaf8b7d618fe1b1a75ba766bda712.png"" width=""24"" aria-hidden=""true"">"
alertTriangleFill.png,alertTriangleFill.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/8d8d8efa90b12183539d3951ed1c4a7b.png"" width=""24"" aria-hidden=""true"">"
arrowBigDown.png,arrowBigDown.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/f596f26128d01efe179c4340f0d17f84.png"" width=""24"" aria-hidden=""true"">"
arrowBigLeft.png,arrowBigLeft.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/6c8dd6426563327c808634b90badea0f.png"" width=""24"" aria-hidden=""true"">"
arrowBigRight.png,arrowBigRight.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/74636df6f450a3f5e8d4082588523f1b.png"" width=""24"" aria-hidden=""true"">"
arrowBigUp.png,arrowBigUp.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/7b756b685e0e7f9759e8f7e1ed700aca.png"" width=""24"" aria-hidden=""true"">"
arrowBranch.png,arrowBranch.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/0ab5983f080a8392de9dad3d2b048d49.png"" width=""24"" aria-hidden=""true"">"
arrowCode.png,arrowCode.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/92aaa5374905a266b7fab3d2e20888a7.png"" width=""24"" aria-hidden=""true"">"
arrowCodeDots.png,arrowCodeDots.png,"<img style=""vertical-align: middle;"" src=""https://cdn.zapier.com/storage/photos/5882879121618f2f8fc30f5ac18be57e.png"" width=""24"" aria-hidden=""true"">"
